idx,sentenceID,punType,sentenceType,ambiguity,distinctiveness,sentence
331,205,near,nonpun,0.553390293,6.587220468,"Her favorite flower is the fuchsia."
332,16,near,pun,0.656242811,7.398709075,"At a flower show the first prize is often a bloom ribbon."
333,240,near,nonpun,0.000969491,6.725458861,"The scent of flowers relaxes me."
334,253,near,nonpun,2.13E-12,7.065419825,"It is possible to fly around the world in an airplane.�"
335,244,near,nonpun,6.10E-07,6.968690048,"I found a cat hair in my food."
336,248,near,nonpun,1.39E-12,6.870529408,"She gave herself a reward for working hard all year."
337,231,near,nonpun,5.52E-06,6.848398835,"The general has great presence."
338,75,near,pun,0.638900887,6.8475552,"What you seize is what you get."
339,265,near,nonpun,1.48E-07,7.055628333,"Our bones give us our shape."
340,295,near,nonpun,3.14E-07,6.50677833,"That drinking glass has a crack in it."
341,47,near,pun,2.54E-07,7.989904145,"One real estate agent said to another, House it going?"
342,70,near,pun,0.029915422,7.660672562,"To become a pilot requires a good altitude."
343,320,near,nonpun,4.50E-11,7.183460448,"He has a good sense for business."
344,172,near,nonpun,0.009102284,8.202896086,"She has good spatial skills; she knows how to build a house from plans on paper."
345,313,near,nonpun,4.33E-10,8.991483703,"A hurricane causes great destruction to buildings and trees."
346,308,near,nonpun,2.32E-13,6.855899071,"Great minds think alike."
347,163,near,nonpun,1.08E-06,6.854245861,"Cilia are hairlike projections on the surface of some cells."
348,25,near,pun,0.006977802,8.316798199,"He labored so hard that he worked his fingers to the bonus."
349,42,near,pun,3.33E-08,7.884600764,"My heart starts Aiken when Clay sings."
350,170,near,nonpun,3.12E-07,6.508600733,"He is a stealer of hearts."
351,27,near,pun,0.039488989,7.228298915,"I like the latest horror movie so much that I've arranged a private screaming."
352,210,near,nonpun,8.48E-13,7.944421995,"We have a small flower garden behind our house.�"
353,226,near,nonpun,5.34E-10,7.820213543,"Humans and animals could not live without plants."
354,34,near,pun,0.097221852,7.890458766,"Inflammatory talk is often seen as propane language."
355,198,near,nonpun,0.000492473,7.081308794,"She is a coal and iron magnate from Australia."
356,65,near,pun,0.016307296,7.44565856,"The satellite went into orbit on January 1st causing a new year's revolution."
357,26,near,pun,0.623760452,8.244826578,"I keep reading 'The Lord of the Rings' over and over. I guess it's just force of hobbit."
358,18,near,pun,0.211639198,7.811616685,"Be kind to your dentist because he has fillings too."
359,304,near,nonpun,1.21E-08,7.541833969,"The leader of a Native American tribe is known as the chief.�"
360,306,near,nonpun,0.001547773,7.546186396,"Her legs were cold, so she put on a pair of pants."
361,268,near,nonpun,1.05E-07,9.318425583,"I really like reading Sherlock Holmes books."
362,217,near,nonpun,2.51E-07,6.562891374,"A decade is a pretty long time."
363,72,near,pun,0.20776363,7.825936308,"Vampires are always looking for their necks victim."
364,30,near,pun,0.14132645,7.000691371,"If a barista is not allowed to make espresso she will lose her tamper."
365,12,near,pun,0.137779637,6.88126323,"Aliens are lovable because they're so spatial."
366,193,near,nonpun,0.013508054,6.719351615,"The lovers go away to the country for weekend trysts."
367,279,near,nonpun,3.91E-09,7.022078297,"A raving mad man frightened those near him."
368,76,near,pun,6.64E-05,8.715597099,"When she made Mario books required reading for her class, she made him an author they couldn't refuse."
369,4,near,pun,8.79E-06,8.761457151,"A man used money that he had inherited from his late father and put an addition on his house. It was an heir extension."
370,168,near,nonpun,0.537776585,7.031762329,"The mayor reworded his speech, because his advisors told him to do so."
371,223,near,nonpun,1.76E-06,7.226782958,"I put the milk and meat in the fridge."
372,191,near,nonpun,0.06430062,6.764428791,"I like a latte in the morning to wake me up."
373,201,near,nonpun,1.36E-06,7.729796421,"Your beard is growing too long; you need a shave."
374,45,near,pun,0.000408757,9.601503125,"New years resolution for the bankrupt gardener was to forget the past and rely on the fuchsia."
375,33,near,pun,0.663393052,9.179069533,"In the novel, there is an unexpected secret meeting of the lovers. It is a plot tryst."
376,5,near,pun,0.686904948,9.378951467,"A men's wear store has opening and clothing times."
377,161,near,nonpun,3.95E-05,9.733975666,"The owner takes the lion's share of profits from the company."
378,195,near,nonpun,0.558471551,6.818661615,"He saw her leafing through the pages of an old book."
379,6,near,pun,0.00020349,7.81795054,"A paramedic got a new job as a chauffeur: an ambiance driver."
380,19,near,pun,0.004982481,6.93278214,"Bell, Bark and Kennel, a novel by Ivan Pavlov, chronicles the birth of the Salivation Army."
381,39,near,pun,0.000176958,7.700001788,"Many people think that Edgar Allan Poe was a raven madman."
382,49,near,pun,0.04769136,9.025295877,"People in Switzerland can't learn to ski without a lot of Alp."
383,249,near,nonpun,1.29E-12,8.176192759,"A mass of people were in the town square for the concert."
384,80,near,pun,0.024591969,8.44832275,"Women who wear $200.00 perfume obviously are known to have no common scents."
385,175,near,nonpun,1.73E-08,7.369347935,"The space launch took place this morning."
386,56,near,pun,0.035071637,8.866586828,"Some planes are so cramped that passengers suffer jet leg."
387,35,near,pun,0.601296962,8.294101069,"John plans to retire in the spring and, like the trees around us, will be leafing."
388,11,near,pun,0.680694553,8.533746276,"After getting pranked by his friends and getting hit with a basket, Aron knew they had a wicker sense of humor."
389,164,near,nonpun,8.89E-06,7.264917204,"Prince William is heir to the British throne."
390,241,near,nonpun,1.67E-11,9.112708079,"My notebook has thin blue lines printed on each page."
391,257,near,nonpun,4.92E-12,7.123623805,"After twenty years in prison, he was a free man."
392,40,near,pun,0.64252794,8.55014154,"My battery had an alkaline problem, so it went to AA meetings."
393,305,near,nonpun,2.84E-05,6.524181588,"Everyone admired his resolution when he quit smoking."
394,184,near,nonpun,2.24E-10,7.116751108,"The end of the nuclear arms race began a new epoch of peace and cooperation."
395,227,near,nonpun,0.001912992,6.855231922,"Rats tore into the meat with their strong incisors."
396,214,near,nonpun,5.17E-09,9.817291368,"Rats, mice, and flies are regarded as pests."
397,222,near,nonpun,0.001915042,7.492430947,"Prisms can be used to reflect and split light."
398,297,near,nonpun,2.91E-10,8.226741135,"Tooth decay can result from poor dental hygiene."
399,3,near,pun,2.18E-05,7.677814701,"A handlebar mustache may look ridiculous, but symmetrical eyelashes are even cilia."
400,58,near,pun,0.000949716,8.157458164,"The actor was never quite right after he retired. He had Post Dramatic Stress Disorder."
401,276,near,nonpun,0.001296664,7.056427665,"The family had roast leg of lamb for dinner."
402,216,near,nonpun,1.28E-09,6.818882786,"Runners need strong legs."
403,50,near,pun,1.83E-08,7.193428992,"Scarecrows are always garden their patch."
404,51,near,pun,0.013379957,8.054944954,"Selling coffee has its perks for those who have bean so lucky."
405,22,near,pun,3.05E-07,10.73868156,"Even though he contributes either the X or Y chromosome, when a father chooses the sex of his child it's just a sperm of the moment decision."
406,283,near,nonpun,1.13E-09,6.6015529,"He tried to hide his irritation but it showed on his face."
407,52,near,pun,0.063308837,7.563886656,"Sign on a broken perfume bottle, Out of odor."
408,260,near,nonpun,3.84E-11,6.607647636,"His office is in a skyscraper."
409,173,near,nonpun,0.000454796,6.859254369,"Dancers whirled on the stage."
410,62,near,pun,0.656222032,9.931940666,"The optical scientist who stole his colleague's bifocals was sentenced to three years in a state prism."
411,7,near,pun,0.679663395,8.469810172,"A pet store had a bird contest with no perches necessary."
412,258,near,nonpun,5.31E-09,6.801661521,"Her strong criticism hurt her daughter's feelings."
413,38,near,pun,0.004272018,6.586481527,"Many people are strongly attracted to a magnate."
414,294,near,nonpun,6.90E-12,6.621927112,"She is the best student in the class."
415,192,near,nonpun,0.000244955,6.581402176,"The tabloid newspaper libeled a movie star."
416,2,near,pun,0.096042288,8.476176464,"A dentist has to tell a patient the whole tooth."
417,53,near,pun,0.005963328,8.330605059,"Sign: 'Please turn out the lights. Thanks a watt.'"
418,10,near,pun,9.61E-08,6.974485602,"A thief who stole cutlery without leaving a clue was called the 'stainless stealer.'"
419,31,near,pun,0.293630262,8.65866364,"If you spend too much time in the coffee shop you'll be latte for work."
420,36,near,pun,7.16E-05,8.613301798,"Just in time for Thanksgiving: a blockbuster movie about sweet potatoes, called 'The Silence of the Yams'."
421,200,near,nonpun,3.20E-05,7.729460375,"He tried out an alkaline diet to maintain the body's ideal pH balance."
422,213,near,nonpun,1.36E-05,9.832311347,"My desk lamp uses a 60-watt light bulb."
423,274,near,nonpun,4.15E-07,6.641313215,"That man uses profane language."
424,73,near,pun,0.117953095,9.713335322,"What does a villain call his silverware? Weapons of mass digestion."
425,311,near,nonpun,4.34E-08,7.353478214,"He couldn't wait to open his Christmas presents."
426,63,near,pun,0.021543932,8.020395281,"The plumber explained that the problem in my kitchen was just water under the fridge."
427,9,near,pun,0.182446985,8.543875709,"A rubber band pistol was confiscated from algebra class because it was a weapon of math disruption."
428,275,near,nonpun,4.37E-11,6.576672826,"He is leaving work right now."
429,281,near,nonpun,2.77E-10,7.555559698,"The boss told us to work late on a holiday; he is a slave driver."
430,218,near,nonpun,7.01E-09,7.458109039,"He has written dramatic works for the stage.�"
431,37,near,pun,5.25E-05,9.381728691,"Last night, I kept dreaming that I had written Lord of the Rings. The wife said I'd been Tolkien in my sleep."
432,197,near,nonpun,1.34E-07,7.119603268,"Tolkien wrote Lord of the Rings."
433,57,near,pun,0.040999964,8.924762863,"Ten years without brushing causes horrible tooth decade."
434,256,near,nonpun,5.73E-10,6.834262169,"Blue and yellow make green."
